Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description,Has_Director,Added_Year,Added_Month
S2002,Movie,Raising Victor Vargas,Peter Sollett,"Victor Rasuk, Judy Marte, Melonie Diaz, Altagracia Guzman, Silvestre Rasuk, Krystal Rodriguez, Kevin Rivera, Wilfree Vasquez, Donna Maldonado","['France', 'United States']",2020-09-15,2002,R,88 Min,"['Dramas', 'Independent Movies', 'Romantic Movies']",A Suave Teen Sets His Sights On A Girl Who Seems Beyond His Reach. But His Game Can'T Be Confined To His Tiny Apartment And Family'S Old-School Values.,True,2020,September
S2003,Tv Show,Taco Chronicles,Unknown,Unknown,['United States'],2020-09-15,2020,TV-MA,2 Seasons,"['Docuseries', 'International Tv Shows', 'Reality Tv']","Many Of The Most Popular Taco Styles Have Long, Rich, Little-Known Histories. Explore Some Of Them In This Eye-Opening, Mouth-Watering Food Adventure.",False,2020,September
S2004,Movie,The Smurfs 2,Raja Gosnell,"Neil Patrick Harris, Brendan Gleeson, Jayma Mays, Hank Azaria, Katy Perry, Christina Ricci, Jonathan Winters, J.B. Smoove, George Lopez, Anton Yelchin, Fred Armisen, Jacob Tremblay, Alan Cumming","['United States', 'France', 'Canada', 'Belgium']",2020-09-15,2013,PG,105 Min,"['Children', 'Family Movies', 'Comedies']","Evil Magician Gargamel Continues His Quest To Tap The Power Of The Smurfs, Creating A Pair Of His Own ""Smurf-Alikes"" Called The Naughties.",True,2020,September
S2005,Movie,Wish Upon A Unicorn,Steve Bencich,"Ryan Kiera Armstrong, Summer Fontana, Kevin J. O'Connor, Tait Blum, Jon Gries, Branscombe Richmond, Rick Overton, Jonathan Lajoie, Chloe Webb",['Unknown'],2020-09-15,2020,PG,93 Min,"['Children', 'Family Movies']",Sisters Mia And Emma Move To Their Grandmother’S Farm Far From The City And Save A Magical Unicorn From Local Cowboys Seeking Its Powers For Themselves.,True,2020,September
S2006,Movie,Lara And The Beat,Tosin Coker,"Seyi Shay, Somkele Iyamah, Vector, Chioma Chukwuka Akpotha, Uche Jumbo, Sharon Ooja, Shaffy Bello, Saidi Balogun, Kemi Lala Akindoju, Ademola Adedoyin",['Nigeria'],2020-09-14,2018,TV-MA,140 Min,"['Dramas', 'International Movies', 'Music', 'Musicals']","When Their Glamorous, Fast-Paced Lifestyle Comes To A Screeching Halt, Two Sisters Try To Rebuild Their Fortunes Through Music And Enterprise.",True,2020,September
S2007,Tv Show,Buddi,Unknown,"Greta Jameson, Ralf Jameson, Clementine Laikin, Felix Laikin","['United Kingdom', 'China']",2020-09-11,2020,TV-Y,2 Seasons,"['British Tv Shows', ""Kids' Tv""]","The Buddis Bounce, Spin, Glide — And Giggle! — Through Their Magical World, Learning New Things And Sharing The Joy Of Friendship.",False,2020,September
S2008,Movie,Dad Wanted,Javier Colinas,"Natalia Coronado, Juan Pablo Medina, Silvia Navarro, Roberto Quijano, Victoria Viera, Arantxa Servín, Aleyda Gallardo, Joaquín Emanuel, Abril Michel, Omar Fierro, Luis Ernesto Franco, Patricia Reyes Spíndola, Rodrigo Murray, Luis Arrieta, Alberto Guerra, Moisés Arizmendi, David Fridman, Martha Claudia Moreno, Ela Velden, Gonzalo García Vivanco, Mauricio Argüelles, César Rodríguez",['Mexico'],2020-09-11,2020,TV-14,103 Min,"['Children', 'Family Movies', 'Comedies', 'Dramas']",What Does A Thrill-Seeker Tween Girl Do When Her Mom Forbids Her To Enter A Bmx Race? Cast An Actor With Nothing To Lose To Play Her Approving Dad.,True,2020,September
S2009,Tv Show,Family Business,Unknown,"Jonathan Cohen, Gérard Darmon, Julia Piaton, Liliane Rovère, Olivier Rosemberg, Ali Marhyar, Lina El Arabi, Louise Coldefy, Enrico Macias, Valérie Damidot",['France'],2020-09-11,2020,TV-MA,2 Seasons,"['International Tv Shows', 'Tv Comedies', 'Tv Dramas']","After Learning France Is About To Legalize Pot, A Down-On-His-Luck Entrepreneur And His Family Race To Turn Their Butcher Shop Into A Marijuana Café.",False,2020,September
S2010,Tv Show,Girlfriends,Unknown,"Tracee Ellis Ross, Golden Brooks, Persia White, Jill Marie Jones, Reginald C. Hayes",['United States'],2020-09-11,2007,TV-14,8 Seasons,['Tv Comedies'],"Four Close Friends In Los Angeles Challenge And Support Each Other Through Life'S Triumphs And Disasters. Sophisticated, Relatable And Always Funny.",False,2020,September
S2011,Movie,How To Train Your Dragon 2,Dean Deblois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig, Djimon Hounsou, Kit Harington",['United States'],2020-09-11,2014,PG,102 Min,"['Children', 'Family Movies']","Hiccup, Toothless And A Mysterious Dragon Rider Join Forces To Protect The Island Of Berk From A Power-Hungry Warrior With A Dragon Army Of His Own.",True,2020,September
S2012,Movie,Pets United,Reinhard Klooss,"Patrick Roche, Natalie Dormer, Eddie Marsan, Felix Auer, Jeff Burrell, Harvey Friedman, Marty Sander, Ian Odle, Bryan Larkin","['Germany', 'China', 'United Kingdom']",2020-09-11,2020,TV-Y7,93 Min,"['Children', 'Family Movies', 'Comedies']",A Street-Smart Dog And A Pampered Cat Join Forces To Lead A Pack Of Unlikely Heroes When Their City Is Seized By Its Evil Mayor — And His Robot Army.,True,2020,September
S2013,Tv Show,The Barrier,Unknown,"Unax Ugalde, Olivia Molina, Eleonora Wexler, Abel Folk, Ángela Molina, Manu Fullola, Daniel Ibáñez, Laura Quirós, Nicolás Illoro, Belén Écija, Juan Blanco, Yaima Ramos",['Spain'],2020-09-11,2020,TV-MA,1 Season,"['International Tv Shows', 'Spanish-Language Tv Shows', 'Tv Dramas']",One Family’S Fight For Survival In A Future Dystopian Madrid Illustrates The Disparity Between Two Worlds Separated By A Fence — And So Much More.,False,2020,September
S2014,Tv Show,The Duchess,Unknown,"Katherine Ryan, Rory Keenan, Katy Byrne, Doon Mackichan, Steen Raskopoulos, Michelle De Swarte, Sophie Fletcher",['United Kingdom'],2020-09-11,2020,TV-MA,1 Season,"['British Tv Shows', 'International Tv Shows', 'Tv Comedies']","Katherine'S A Single Mom Juggling Her Career, Her Tween Daughter, Her Relationship With Her Boyfriend — And Pondering Getting Pregnant With Her Ex.",False,2020,September
S2015,Movie,Wonho Chung: Live In New York,Shaun Mir,Wonho Chung,['Unknown'],2020-09-11,2014,TV-14,69 Min,['Stand-Up Comedy'],"At The Comic Strip'S First Arabic Stand-Up Show, Wonho Chung Ratchets Up The Laughs By Tackling Unique Names, Life In Jordan, Accents And More.",True,2020,September
S2016,Movie,Aapla Manus,Satish Rajwade,"Nana Patekar, Sumeet Raghvan, Iravati Harshe, Aashish Kulkarni, Savita Malpekar",['India'],2020-09-10,2018,TV-14,133 Min,"['Dramas', 'International Movies', 'Thrillers']","When A Man Falls From His Balcony, An Investigator Questions The Victim’S Family, Determined To Uncover A Darker Truth Behind The Alleged Accident.",True,2020,September
S2017,Movie,Ani... Dr. Kashinath Ghanekar,Abhijeet Deshpande,"Subodh Bhave, Vaidehi Parshurami, Nandita Patkar, Sonali Kulkarni, Sumeet Raghvan, Prasad Oak, Anand Ingale, Suhas Palshikar",['India'],2020-09-10,2018,TV-14,157 Min,"['Dramas', 'International Movies']","From His Singular Career To His Personal Demons, This Biopic Chronicles The Short Yet Prolific Life Of The Marathi Dentist-Turned-Superstar.",True,2020,September
S2018,Movie,Bhai: Vyakti Ki Valli - Poorvardha,Mahesh Manjrekar,"Sagar Deshmukh, Vijay Kenkre, Iravati Harshe, Shubhangi Damle, Sachin Khedekar, Sunil Barve, Ashwini Giri, Rajan Bhise",['India'],2020-09-10,2019,TV-14,116 Min,"['Dramas', 'International Movies']",This First Of A Two-Part Biopic Depicts The Early Years That Lay The Foundation For Beloved Marathi Writer And Comedian P.L. Deshpande’S Iconic Career.,True,2020,September
S2019,Movie,Bhai: Vyakti Ki Valli - Uttarardh,Mahesh Manjrekar,"Sagar Deshmukh, Iravati Harshe, Vijay Kenkre, Shubhangi Damle, Ashwini Giri, Nina Kulkarni, Dalip Tahil, Girish Kulkarni",['India'],2020-09-10,2019,TV-PG,112 Min,"['Dramas', 'International Movies']","The Second Installment Of P.L. Deshpande’S Biopic Explores The Marathi Humorist’S Political Journey, Philanthropic Endeavors And Personal Life.",True,2020,September
S2020,Movie,Cycle,Prakash Kunte,"Hrishikesh Joshi, Bhalchandra Kadam, Priyadarshan Jadhav, Deepti Lele, Manoj Kolhatkar, Maithili Patwardhan",['India'],2020-09-10,2018,TV-PG,96 Min,"['Comedies', 'Dramas', 'International Movies']","When His Prized Bicycle Is Stolen, An Astrologer’S Search Turns Into A Journey Of Self-Realization — While The Thieves Learn A Few Lessons Of Their Own.",True,2020,September
S2021,Movie,Dhh,Manish Saini,"Naseeruddin Shah, Kahaan, Kuldeep Sodha",['India'],2020-09-10,2017,TV-G,127 Min,"['Children', 'Family Movies', 'Dramas', 'International Movies']","Convinced Only A Miracle Can Save Them From Failing School Exams, A Trio Of Friends Seek Help From A Magician. To Their Surprise, He Gamely Complies.",True,2020,September
S2022,Tv Show,Greenleaf,Unknown,"Merle Dandridge, Kim Hawthorne, Desiree Ross, Lamman Rucker, Tye White, Lynn Whitfield, Deborah Joy Winans, Keith David, Lovie Simone, Gregory Alan Williams, Oprah Winfrey",['United States'],2020-09-10,2020,TV-14,5 Seasons,['Tv Dramas'],"Although Members Of The Greenleaf Family Run A Memphis Megachurch, Their Business And Personal Lives Are Tainted With Greed, Adultery And Other Sins.",False,2020,September
S2023,Tv Show,Julie And The Phantoms,Kenny Ortega,"Madison Reyes, Charlie Gillespie, Owen Patrick Joyner, Jeremy Shada, Jadah Marie, Sacha Carlson, Savannah Lee May, Cheyenne Jackson, Carlos Ponce, Booboo Stewart, Sonny Bustamante",['United States'],2020-09-10,2020,TV-G,1 Season,"[""Kids' Tv"", 'Tv Comedies']","Julie Lost Her Passion For Music When She Lost Her Mom. But When Three Ghostly Guys Appear And Lift Her Spirits, They Decide To Start A Band Together!",True,2020,September
S2024,Movie,Kaagar,Makarand Mane,"Rinku Rajguru, Shubhankar Tawde, Shashank Shende, Suhas Palshikar, Bharati Patil, Milind Pathak, Umesh Jagtap, Shantanu Gangane, Vitthal Kale, Mahesh Bhosale",['India'],2020-09-10,2019,TV-MA,130 Min,"['Dramas', 'International Movies', 'Romantic Movies']","When An Activist Begins Aiding A Shrewd Political Advisor — Also His Girlfriend’S Father, Personal Agendas Lead To Betrayal As Love And Duty Clash.",True,2020,September
S2025,Movie,Night Of Knots,Hakan Algül,"Şahin Irmak, İrem Sak, Gonca Vuslateri, Emre Karayel, Duygu Yetiş, Onur Buldu, Salih Kalyon, Bilge Şen, Nilgün Belgün, Hakan Akın",['Turkey'],2020-09-10,2018,TV-MA,93 Min,"['Comedies', 'International Movies', 'Romantic Movies']",Two Exes Run Into Each Other At A Wedding Hall And Realize They Still Harbor Romantic Feelings. The One Problem? They Just Got Married To Other People.,True,2020,September
S2026,Movie,Photocopy,Vijay Maurya,"Parna Pethe, Chetan Chitnis, Anshuman Joshi, Aashay Kulkarni, Vandana Gupte, Girish Oak",['India'],2020-09-10,2016,TV-14,138 Min,"['Comedies', 'Dramas', 'International Movies']","Posing As Her Bubbly Identical Twin For A Quiz Contest, A Shy Student Crushes On A Fellow Participant, Who Falls For Her — Thinking She’S Her Sister.",True,2020,September
S2027,Movie,Poshter Girl,Sameer Patil,"Sonalee Kulkarni, Hrishikesh Joshi, Jitendra Joshi, Aniket Vishwasrao, Hemant Dhome, Sandeep Pathak, Siddharth Menon, Akshay Tanksale, Vaibhav Mangale, Anand Ingale",['India'],2020-09-10,2016,TV-14,138 Min,"['Comedies', 'Dramas', 'International Movies']","In A Town Infamous For Female Infanticide, A Young Woman’S Arrival Has Local Bachelors Vying For Her Hand In Marriage — But She Has A Bigger Agenda.",True,2020,September
S2028,Movie,Satria Heroes: Revenge Of The Darkness,"Kenzo Maihara, Amandha Wyanto","Christian Loho, Fernando Surya, Yayan Ruhian, Stella Cornelia, Yui Takano, Safira Ratu, Faris Fadjar Munggaran, Adhitya Alkatiri",['Indonesia'],2020-09-10,2017,TV-G,92 Min,"['Children', 'Family Movies']","As He Rebuilds Society In A Parallel Universe, A Superhero Must Return To Earth To Help His Equally Powerful Friend Defend The Planet From Evil Rivals.",True,2020,September
